dataset_legivel,documento,taxa_encontrado,sim_media_geral
topics,DMRJ_4_Escritura-Escritura_20231212_000.pdf,0.9791666666666666,0.8309489724536737
topics,ELKZ12_Escritura_20180614_000.pdf,1.0,0.8893075324594975
topics,HGLB_3_Escritura-Escritura_20241025_000.pdf,1.0,0.8520644847303629
topics,KATR12_Escritura-Escritura_20221129_000.pdf,0.9791666666666666,0.8484103139489889
topics,KNST19_Escritura-Escritura_20250707_000.pdf,0.9166666666666666,0.8778196753313144
topics,LINS_2_Escritura-Escritura_20240603_000.pdf,1.0,0.8718528933823109
topics,LVTC_2_Escritura-Escritura_20220601_000.pdf,0.9375,0.8326873487482468
topics,LWAT_1_Escritura-Escritura_20240304_000.pdf,0.9791666666666666,0.8636615176995596
topics,MMIP_2_Escritura-Escritura_20220805_000.pdf,0.9791666666666666,0.807828813791275
topics,MMIP_5_Escritura-Escritura_20250414_000.pdf,1.0,0.8484932898233334
topics,MRFG_10_Escritura-Escritura_20220128_000.pdf,1.0,0.8524315444131693
topics,MRFG_11_Escritura-Escritura_20221110_000.pdf,1.0,0.8473009907950958
topics,MRFG_17_Escritura-Escritura_20240816_000.pdf,1.0,0.8654739943643411
topics,NISS_4_Escritura-Escritura_20220713_000.pdf,0.9375,0.8487224417428175
topics,NOWS_1_Escritura-Escritura_20211105_000.pdf,0.9375,0.8081659314533075
topics,NRSA_2_Escritura-Escritura_20190530_000.pdf,1.0,0.8739486994842688
topics,NTON_3_Escritura-Escritura_20240112_000.pdf,0.9583333333333334,0.8488969542086124
topics,OCRM_1_Escritura-Escritura_20211008_000.pdf,0.9791666666666666,0.8249294565369686
topics,OIWI12_Escritura-Escritura_20230127_000.pdf,1.0,0.8612090647220612
topics,PCHS_20_Escritura-Escritura_20250904_000.pdf,0.7916666666666666,0.7837457895899812
topics,PCHS_5_Escritura-Escritura_20231109_000.pdf,0.9583333333333334,0.892436970025301
topics,RADL_2_Escritura_20180326_000.pdf,0.9583333333333334,0.7953240027030309
topics,RBHO_5_Escritura_20180418_000.pdf,0.9791666666666666,0.8398906961083412
topics,RHAG_3_Escritura-Escritura_20240718_000.pdf,0.9583333333333334,0.85017019448181
topics,RNVA_1_Escritura-Escritura_20210401_000.pdf,0.9166666666666666,0.8965596780180931
topics,RODC_3_Escritura-Escritura_20250523_000.pdf,0.9791666666666666,0.8612079185744127
topics,SAPE_2_Escritura-Escritura_20211105_000.pdf,1.0,0.9166757153968016
topics,SBFC_3_Escritura-Escritura_20220330_000.pdf,0.9791666666666666,0.8793040203551451
topics,SMTO_3_Escritura-Escritura_20210622_000.pdf,0.9583333333333334,0.8265538873771826
topics,SMTO_4_Escritura-Escritura_20220117_000.pdf,1.0,0.8289285628125072
topics,SMTO_5_Escritura-Escritura_20221221_000.pdf,0.9791666666666666,0.8156257172425588
topics,SSED_1_Escritura_20180628_000.pdf,0.9166666666666666,0.7780328492323557
topics,STCL_1_Escritura-Escritura_20250221_000.pdf,1.0,0.8925380818545818
topics,TMER_2_Escritura-Escritura_20240202_000.pdf,0.9166666666666666,0.8661993369460106
topics,TNDA_4_Escritura-Escritura_20250820_000.pdf,1.0,0.8461038215706745
topics,TPER_1_Escritura-Escritura_20231221_001.pdf,0.7916666666666666,0.7991348554690679
topics,TRGP_1_Escritura-Escritura_20240611_000.pdf,0.9791666666666666,0.868619641289115
topics,TRPL_15_Escritura-Escritura_20240216_000.pdf,0.9166666666666666,0.8155911906311909
topics,TVXV_1_Escritura-Escritura_20210111_000.pdf,0.9375,0.8723674366871516
topics,UFVP_1_Escritura-Escritura_20220916_000.pdf,0.9166666666666666,0.9056709539145231
topics,UHEJ11_Escritura-Escritura_20250617_000.pdf,0.9375,0.8243571377048889
topics,VARZ_1_Escritura-Escritura_20221128_000.pdf,0.8958333333333334,0.8374953052649895
topics,VECS_1_Escritura-Escritura_20220705_000.pdf,0.9375,0.7745116700728735
topics,VIIA_9_Escritura-Escritura_20230505_000.pdf,1.0,0.8886092007160187
topics,VSCF_8_Escritura-Escritura_20250117_000.pdf,0.9166666666666666,0.850090284521381
topics,VSUL_1_Escritura-Escritura_20190915_000.pdf,0.9583333333333334,0.8593466362605492
topics,VTRU16_Escritura-Escritura_20251020_000.pdf,0.9583333333333334,0.8405034330983957
topics,VVEO_6_Escritura-Escritura_20221019_000.pdf,0.9583333333333334,0.8557800371199846
topics,VVEO_7_Escritura-Escritura_20250430_000.pdf,0.9166666666666666,0.8046291992068291
topics,VVTS_3_Escritura-Escritura_20211005_000.pdf,0.875,0.7668789438903332
topics,WWAV_3_Escritura-Escritura_20221124_000.pdf,0.9791666666666666,0.8432894038657347
topics,XPEN_1_Escritura-Escritura_20211206_000.pdf,0.9166666666666666,0.9041712588320175
topics,XXIX21_Escritura-Escritura_20230112_000.pdf,0.9375,0.8115304273863634
topics,ZMPT_1_Escritura_20180611_000.pdf,0.4791666666666667,0.5808650472511848
zeroshoot,AALM_1_Escritura-Escritura_20210715_000.pdf,0.375,0.781298724313577
zeroshoot,AALM_2_Escritura-Escritura_20240908_000.pdf,0.9583333333333334,0.8370140890280405
zeroshoot,AASN_1_Escritura-Escritura_20220506_000.pdf,0.9375,0.8815012772878011
zeroshoot,ABSP_2_Escritura-Escritura_20241010_000.pdf,0.8541666666666666,0.7248631945500771
zeroshoot,ACMB_3_Escritura-Escritura_20241010_000.pdf,1.0,0.8089627760152022
zeroshoot,ADAG_1_Escritura-Escritura_20201124_000.pdf,1.0,0.8770422277351221
zeroshoot,ADGE12_Escritura-Escritura_20230321_000.pdf,0.9583333333333334,0.8679373444368442
zeroshoot,ADGE_3_Escritura-Escritura_20230427_000.pdf,0.8541666666666666,0.7310740891844034
